"","avg","sal","reg","yr","conf.high","conf.low"
"1",0.101790531483655,"CU","D","2015",0.452192903,0.102643261
"2",0.0345834269604484,"CU","J","2015",0.077286859,0.012570699
"3",0.0314013195204862,"CU","D","2016",0.096449989,0.015485625
"4",0.042141808337475,"CU","J","2016",0.12918402,0.024709075
"5",0.000169839175215569,"CU","D","2017",0.000419,4.57e-10
"6",0.0426714326703924,"CU","J","2017",0.075005038,7.08e-12
"7",0.00714705453448329,"CU","D","2018",0.017816105,5.17e-05
"8",0.00565884383751159,"CU","J","2018",0.029693395,0.001379549
"9",0.43920435165508,"PI","D","2015",1.081712293,0.32877331
"10",0.130452039203178,"PI","J","2015",0.191096144,0.039642503
"11",0.0831734502802069,"PI","D","2016",0.163693094,0.040045292
"12",0.100240536020223,"PI","J","2016",0.236475007,0.075609542
"13",0.000954471515945453,"PI","D","2017",0.001653303,5.34e-10
"14",0.227224993098778,"PI","J","2017",0.323048576,1.12e-11
"15",0.0245235913600757,"PI","D","2018",0.046277989,0.000189
"16",0.0175092665480098,"PI","J","2018",0.081667994,0.004500924
"17",0.0503001452417015,"SO","D","2015",0.127121394,0.024068898
"18",0.0113690066834792,"SO","J","2015",0.023273827,0.001871453
"19",0.00872091391444421,"SO","D","2016",0.022577095,0.002979886
"20",0.0079972428931221,"SO","J","2016",0.028898255,0.00444818
"21",6.33973523600899e-05,"SO","D","2017",0.000121,5.26e-11
"22",0.0110905220165734,"SO","J","2017",0.019968201,9.21e-13
"23",0.00799333755114191,"SO","D","2018",0.012017838,8.94e-06
"24",0.00500967675265773,"SO","J","2018",0.012822983,0.000372
